USER_ID, GROUP, DOF real R, DOF virtual R, target distance R, target width R, TARGET_DISTANCE_ROTATE, TARGET_WIDTH_ROTATE, ID combined, ID R, REPETITION, TRIAL, SUCCESSFUL CLICKS, Hit, OVERSHOOTS R, PEAK ACCELERATION R, MOVEMENT CONTINUITY R, PEAK SPEED R, HIT TYPE, MT, ERROR R , FIRST REVERSAL R, REVERSAL POINTS R, TP, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 1, 3, 1, 3, 6183.28030716682, 0.0, 519.8557046419829, Manual, 18.735454559326172, 1.7093045069948754, 0, 6, 0.2134989566083878, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 2, 5, 1, 0, 7185.513441666671, -0.17718928992868677, 481.59583933205903, Manual, 2.1406421661376953, 0.19323894861050145, nan, 4, 1.8685981539909098, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 3, 7, 1, 1, 7797.806670400637, -0.15661619766302415, 670.914443162018, Manual, 3.025575637817383, 3.0454058371137336, 83.97450629973062, 6, 1.3220624697009908, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 4, 9, 1, 0, 8344.198158258867, -0.05586869982674173, 557.1696208247556, Manual, 1.4214096069335938, 2.0107405013666306, nan, 1, 2.81410789718046, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 5, 11, 1, 1, 7762.515988029683, -0.09908657823660506, 650.5383879171919, Manual, 5.500465393066406, 1.5531150902226674, 72.44614207367442, 8, 0.7272111929005475, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 6, 13, 1, 1, 8902.947284151143, -0.04737934563664212, 458.5265662690626, Manual, 1.40472412109375, 3.136779575260052, nan, 1, 2.8475342168151205, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 7, 15, 1, 0, 5731.930079645887, -0.09881848308150495, 543.3426225015907, Manual, 2.0059738159179688, 1.2813980745004225, 86.73982389529476, 3, 1.994043974182948, 
6, 1, 3, 3, 100, 6.666666666666667, 100, 6.666666666666667, 4, 4, 8, 8, 17, 1, 2, 10074.25102493583, -0.12111499355662937, 555.577497470354, Manual, 2.4736595153808594, 2.272671078284297, nan, 5, 1.6170374197130102, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 9, 19, 1, 0, 6573.366682559801, -0.07224651677608224, 520.1177120723518, Manual, 9.686698913574219, 1.0147964884465148, 99.17790301183253, 19, 0.5161717159385817, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 10, 21, 1, 2, 8332.404336755691, -0.06818654984340011, 547.5213887289191, Manual, 1.8225784301757812, 1.4149879580775604, nan, 1, 2.743366165876202, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 11, 23, 1, 1, 7015.379356540054, -0.09063211319140263, 637.6851267708947, Manual, 9.126880645751953, 1.590653850046639, 90.26313633793032, 4, 0.5478322982482758, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 12, 23, 0, 2, 7027.63448971464, -0.2981188389458326, 618.0454410656442, Manual, 2.876453399658203, 1.7422561475711296, nan, 3, 1.7382516958536958, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 13, 25, 1, 2, 8526.645163571231, -0.025203283860008474, 502.6016007461802, Manual, 5.584079742431641, 0.6780162169064319, 83.44185094516506, 6, 0.8954026859621282, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 14, 27, 1, 0, 7424.669968714125, -0.08306288931241476, 708.9533250269163, Manual, 2.15716552734375, 1.3142703109856029, nan, 1, 2.3178564355034945, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 15, 29, 1, 0, 5950.812447505188, -0.18482910239630104, 517.9425211983756, Manual, 2.474578857421875, 0.8787815742128183, 84.39297069859519, 2, 2.0205458334874886, 
6, 1, 3, 3, 100, 3.225806451612903, 100, 3.225806451612903, 5, 5, 8, 16, 31, 1, 1, 10317.6343947096, -0.1992795421579319, 720.3244072633198, Manual, 2.2245941162109375, 1.5801525271396064, nan, 2, 2.2476010178954806, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 17, 33, 1, 1, 7571.628325469679, -0.06841221171680405, 621.7828400324673, Manual, 9.0133056640625, 0.5345212376161278, 82.65640901263441, 3, 0.6656825168953234, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 18, 33, 0, 0, 6312.567988776844, -0.13855762472439453, 637.7728769769626, Manual, 12.183609008789062, 2.640464754459773, nan, 1, 0.4924649170596081, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 19, 35, 1, 0, 5681.822554919525, -0.0327847672687606, 548.0860910394955, Manual, 3.6433639526367188, 0.14229678075732535, 83.94798391904625, 2, 1.6468297095758917, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 20, 35, 0, 3, 5858.765263905748, -0.04722101458714035, 595.1046487191226, Manual, 5.9341583251953125, 0.949849762533461, nan, 3, 1.0110953687442306, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 21, 35, 0, 0, 7494.111206902851, -0.08727327308160251, 724.5621533597858, Manual, 7.6211700439453125, 1.7539917893627048, 86.41455737766273, 1, 0.7872806885822917, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 22, 37, 1, 0, 5611.026169268638, -0.4165438066676222, 678.9220799777999, Manual, 3.1937408447265625, 0.5401576125985433, nan, 3, 1.8786746613793268, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 23, 37, 0, 2, 8142.758285751827, -0.16460617835371605, 546.3889053223277, Manual, 1.922607421875, 1.0025101245140149, 71.77585988696764, 3, 3.120761904761905, 
6, 1, 3, 3, 100, 1.5873015873015872, 100, 1.5873015873015872, 6, 6, 8, 24, 39, 1, 1, 7403.03661409086, -0.12398533998566161, 693.609420201199, Manual, 6.520973205566406, 0.7659011401594287, nan, 2, 0.9201080591587625, 
